2022-03-18 02:38:20.479 UTC [151] FATAL:  no pg_hba.conf entry for replication connection from host "172.17.0.3", user "postgres", SSL off
2022-03-18 02:38:20.479 UTC [150] FATAL:  could not connect to the primary server: FATAL:  no pg_hba.conf entry for replication connection from host "172.17.0.3", user "postgres", SSL off
2022-03-18 02:38:25.482 UTC [153] FATAL:  no pg_hba.conf entry for replication connection from host "172.17.0.3", user "postgres", SSL off
2022-03-18 02:38:25.482 UTC [152] FATAL:  could not connect to the primary server: FATAL:  no pg_hba.conf entry for replication connection from host "172.17.0.3", user "postgres", SSL off
2022-03-18 02:38:30.452 UTC [155] FATAL:  no pg_hba.conf entry for replication connection from host "172.17.0.3", user "postgres", SSL off
2022-03-18 02:38:30.452 UTC [154] FATAL:  could not connect to the primary server: FATAL:  no pg_hba.conf entry for replication connection from host "172.17.0.3", user "postgres", SSL off
2022-03-18 02:38:35.457 UTC [157] FATAL:  no pg_hba.conf entry for replication connection from host "172.17.0.3", user "postgres", SSL off
2022-03-18 02:38:35.457 UTC [156] FATAL:  could not connect to the primary server: FATAL:  no pg_hba.conf entry for replication connection from host "172.17.0.3", user "postgres", SSL off
2022-03-18 02:38:40.465 UTC [159] FATAL:  no pg_hba.conf entry for replication connection from host "172.17.0.3", user "postgres", SSL off
2022-03-18 02:38:40.465 UTC [158] FATAL:  could not connect to the primary server: FATAL:  no pg_hba.conf entry for replication connection from host "172.17.0.3", user "postgres", SSL off
2022-03-18 02:38:45.472 UTC [161] FATAL:  no pg_hba.conf entry for replication connection from host "172.17.0.3", user "postgres", SSL off
2022-03-18 02:38:45.472 UTC [160] FATAL:  could not connect to the primary server: FATAL:  no pg_hba.conf entry for replication connection from host "172.17.0.3", user "postgres", SSL off
2022-03-18 02:38:50.480 UTC [163] FATAL:  no pg_hba.conf entry for replication connection from host "172.17.0.3", user "postgres", SSL off
2022-03-18 02:38:50.480 UTC [162] FATAL:  could not connect to the primary server: FATAL:  no pg_hba.conf entry for replication connection from host "172.17.0.3", user "postgres", SSL off
2022-03-18 02:38:55.491 UTC [165] FATAL:  no pg_hba.conf entry for replication connection from host "172.17.0.3", user "postgres", SSL off
2022-03-18 02:38:55.492 UTC [164] FATAL:  could not connect to the primary server: FATAL:  no pg_hba.conf entry for replication connection from host "172.17.0.3", user "postgres", SSL off
2022-03-18 02:39:00.461 UTC [167] FATAL:  no pg_hba.conf entry for replication connection from host "172.17.0.3", user "postgres", SSL off
2022-03-18 02:39:00.461 UTC [166] FATAL:  could not connect to the primary server: FATAL:  no pg_hba.conf entry for replication connection from host "172.17.0.3", user "postgres", SSL off
2022-03-18 02:39:05.466 UTC [169] FATAL:  no pg_hba.conf entry for replication connection from host "172.17.0.3", user "postgres", SSL off
2022-03-18 02:39:05.466 UTC [168] FATAL:  could not connect to the primary server: FATAL:  no pg_hba.conf entry for replication connection from host "172.17.0.3", user "postgres", SSL off
2022-03-18 02:39:09.659 UTC [1] LOG:  received fast shutdown request
2022-03-18 02:39:09.661 UTC [1] LOG:  aborting any active transactions
2022-03-18 02:39:09.666 UTC [31] LOG:  shutting down
2022-03-18 02:39:09.685 UTC [1] LOG:  database system is shut down
